Time	Channel A
(us)	(V)

0.00000000	1.25324300
0.04000000	1.07409900
0.08000000	0.89495530
0.12000000	0.71581160
0.16000000	0.44709620
0.20000000	0.17838070
0.24000000	-0.04531999
0.28000000	-0.35874510
0.32000000	-0.62746050
0.36000000	-0.89617600
0.40000000	-1.07532000
0.44000000	-1.29917300
0.48000000	-1.43360700
0.52000000	-1.56788800
0.56000000	-1.61259800
0.60000000	-1.65746000
0.64000000	-1.65746000
0.68000000	-1.61259800
0.72000000	-1.52302600
0.76000000	-1.47831700
0.80000000	-1.38874500
0.83999999	-1.29917300
0.87999999	-1.25446300
0.91999999	-1.16489100
0.95999999	-1.07532000
0.99999999	-1.07532000
1.03999999	-1.07532000
1.07999999	-1.03045700
1.11999999	-1.07532000
1.15999999	-1.07532000
1.19999999	-1.07532000
1.23999999	-1.07532000
1.27999999	-1.07532000
1.31999999	-0.98574790
1.35999999	-0.94088570
1.39999999	-0.85131380
1.43999999	-0.71703240
1.47999999	-0.53788870
1.51999999	-0.35874510
1.55999999	-0.17960140
1.59999999	0.08880886
1.63999999	0.35752430
1.67999999	0.58153020
1.71999999	0.80538340
1.75999999	1.07409900
1.79999999	1.29795200
1.83999999	1.56666800
1.87999999	1.83538300
1.91999999	2.14880800
1.95999999	2.37266200
1.99999999	2.64137700
2.03999999	2.77581100
2.07999999	2.91009200
2.11999999	2.95480200
2.15999999	2.91009200
2.19999999	2.82052100
2.23999999	2.68623900
2.27999999	2.41752400
2.31999999	2.10409900
2.35999999	1.79052100
2.39999999	1.38752400
2.43999999	1.02923700
2.47999998	0.67110200
2.51999998	0.31281470
2.55999998	-0.00061037
2.59999998	-0.26917330
2.63999998	-0.44831690
2.67999998	-0.62746050
2.71999998	-0.71703240
2.75999998	-0.80660420
2.79999998	-0.80660420
2.83999998	-0.80660420
2.87999998	-0.80660420
2.91999998	-0.80660420
2.95999998	-0.76174200
2.99999998	-0.80660420
3.03999998	-0.89617600
3.07999998	-0.94088570
3.11999998	-1.07532000
3.15999998	-1.25446300
3.19999998	-1.43360700
3.23999998	-1.61259800
3.27999998	-1.79174200
3.31999998	-2.01574800
3.35999998	-2.19473900
3.39999998	-2.37388200
3.43999998	-2.50831600
3.47999998	-2.59788800
3.51999998	-2.59788800
3.55999998	-2.55302600
3.59999998	-2.46345400
3.63999998	-2.28431000
3.67999998	-2.06045700
3.71999998	-1.79174200
3.75999998	-1.47831700
3.79999998	-1.12002900
3.83999998	-0.80660420
3.87999998	-0.44831690
